(P) TID: 136739238704832 | VALOR: R$  288 | ITERACAO:  1
(C) TID: 136739125450432 | MEDIA: R$  614 | ITERACAO: 34
(P) TID: 136739221919424 | VALOR: R$  344 | ITERACAO: 13
(C) TID: 136739117057728 | MEDIA: R$  561 | ITERACAO: 34
(P) TID: 136739085612736 | VALOR: R$  374 | ITERACAO: 12
(C) TID: 136739125450432 | MEDIA: R$  479 | ITERACAO: 35
(P) TID: 136739142235840 | VALOR: R$  472 | ITERACAO: 13
(C) TID: 136739117057728 | MEDIA: R$  501 | ITERACAO: 35
(P) TID: 136739133843136 | VALOR: R$  257 | ITERACAO: 17
(C) TID: 136739125450432 | MEDIA: R$  451 | ITERACAO: 36
(P) TID: 136739230312128 | VALOR: R$  394 | ITERACAO: 13
(C) TID: 136739117057728 | MEDIA: R$  368 | ITERACAO: 36
(P) TID: 136739085612736 | VALOR: R$   69 | ITERACAO: 13
(C) TID: 136739125450432 | MEDIA: R$  313 | ITERACAO: 37
(P) TID: 136739238704832 | VALOR: R$  458 | ITERACAO: 17
(C) TID: 136739117057728 | MEDIA: R$  330 | ITERACAO: 37
(P) TID: 136739133843136 | VALOR: R$  162 | ITERACAO: 18
(C) TID: 136739125450432 | MEDIA: R$  268 | ITERACAO: 38
(P) TID: 136739142235840 | VALOR: R$  472 | ITERACAO: 14
(C) TID: 136739117057728 | MEDIA: R$  311 | ITERACAO: 38
(P) TID: 136739133843136 | VALOR: R$   96 | ITERACAO: 19
(C) TID: 136739125450432 | MEDIA: R$  251 | ITERACAO: 39
(P) TID: 136739142235840 | VALOR: R$  222 | ITERACAO: 15
(P) TID: 136739221919424 | VALOR: R$  804 | ITERACAO: 14
(C) TID: 136739117057728 | MEDIA: R$  351 | ITERACAO: 39
(P) TID: 136739238704832 | VALOR: R$  671 | ITERACAO: 18
(C) TID: 136739125450432 | MEDIA: R$  453 | ITERACAO: 40
(P) TID: 136739142235840 | VALOR: R$   20 | ITERACAO: 16
(C) TID: 136739117057728 | MEDIA: R$  363 | ITERACAO: 40
(P) TID: 136739230312128 | VALOR: R$  796 | ITERACAO: 14
(C) TID: 136739125450432 | MEDIA: R$  503 | ITERACAO: 41
(P) TID: 136739085612736 | VALOR: R$  341 | ITERACAO: 14
(C) TID: 136739117057728 | MEDIA: R$  526 | ITERACAO: 41
(P) TID: 136739221919424 | VALOR: R$  337 | ITERACAO: 15
(C) TID: 136739125450432 | MEDIA: R$  433 | ITERACAO: 42
(P) TID: 136739238704832 | VALOR: R$  883 | ITERACAO: 19
(C) TID: 136739117057728 | MEDIA: R$  475 | ITERACAO: 42
(P) TID: 136739085612736 | VALOR: R$  939 | ITERACAO: 15
(C) TID: 136739125450432 | MEDIA: R$  659 | ITERACAO: 43
(P) TID: 136739221919424 | VALOR: R$  799 | ITERACAO: 16
(C) TID: 136739117057728 | MEDIA: R$  660 | ITERACAO: 43
(P) TID: 136739133843136 | VALOR: R$  496 | ITERACAO: 20
(C) TID: 136739125450432 | MEDIA: R$  691 | ITERACAO: 44
(P) TID: 136739230312128 | VALOR: R$  499 | ITERACAO: 15
(C) TID: 136739117057728 | MEDIA: R$  723 | ITERACAO: 44
(P) TID: 136739142235840 | VALOR: R$  847 | ITERACAO: 17
(C) TID: 136739125450432 | MEDIA: R$  716 | ITERACAO: 45
(P) TID: 136739221919424 | VALOR: R$   88 | ITERACAO: 17
(C) TID: 136739117057728 | MEDIA: R$  546 | ITERACAO: 45
(P) TID: 136739238704832 | VALOR: R$  466 | ITERACAO: 20
(C) TID: 136739117057728 | MEDIA: R$  479 | ITERACAO: 46
(P) TID: 136739230312128 | VALOR: R$  955 | ITERACAO: 16
(C) TID: 136739117057728 | MEDIA: R$  571 | ITERACAO: 47
(P) TID: 136739085612736 | VALOR: R$  942 | ITERACAO: 16
(C) TID: 136739125450432 | MEDIA: R$  660 | ITERACAO: 46
(P) TID: 136739221919424 | VALOR: R$  748 | ITERACAO: 18
(C) TID: 136739117057728 | MEDIA: R$  640 | ITERACAO: 48
(P) TID: 136739133843136 | VALOR: R$  272 | ITERACAO: 21
(C) TID: 136739125450432 | MEDIA: R$  677 | ITERACAO: 47
(P) TID: 136739142235840 | VALOR: R$  493 | ITERACAO: 18
(C) TID: 136739117057728 | MEDIA: R$  682 | ITERACAO: 49
(P) TID: 136739085612736 | VALOR: R$  653 | ITERACAO: 17
(C) TID: 136739125450432 | MEDIA: R$  622 | ITERACAO: 48
(P) TID: 136739221919424 | VALOR: R$  262 | ITERACAO: 19
(C) TID: 136739117057728 | MEDIA: R$  486 | ITERACAO: 50
(P) TID: 136739230312128 | VALOR: R$  250 | ITERACAO: 17
(C) TID: 136739125450432 | MEDIA: R$  386 | ITERACAO: 49
(P) TID: 136739238704832 | VALOR: R$  797 | ITERACAO: 21
(C) TID: 136739117057728 | MEDIA: R$  491 | ITERACAO: 51
(P) TID: 136739238704832 | VALOR: R$  635 | ITERACAO: 22
(C) TID: 136739125450432 | MEDIA: R$  519 | ITERACAO: 50
(P) TID: 136739133843136 | VALOR: R$  873 | ITERACAO: 22
(C) TID: 136739117057728 | MEDIA: R$  563 | ITERACAO: 52
(P) TID: 136739085612736 | VALOR: R$  518 | ITERACAO: 18
(C) TID: 136739125450432 | MEDIA: R$  615 | ITERACAO: 51
(P) TID: 136739085612736 | VALOR: R$  435 | ITERACAO: 19
(C) TID: 136739117057728 | MEDIA: R$  652 | ITERACAO: 53
(P) TID: 136739142235840 | VALOR: R$  383 | ITERACAO: 19
(C) TID: 136739125450432 | MEDIA: R$  569 | ITERACAO: 52
(P) TID: 136739221919424 | VALOR: R$   34 | ITERACAO: 20
(C) TID: 136739117057728 | MEDIA: R$  449 | ITERACAO: 54
(P) TID: 136739238704832 | VALOR: R$  761 | ITERACAO: 23
(C) TID: 136739125450432 | MEDIA: R$  426 | ITERACAO: 53
(P) TID: 136739230312128 | VALOR: R$  590 | ITERACAO: 18
(C) TID: 136739117057728 | MEDIA: R$  441 | ITERACAO: 55
(P) TID: 136739133843136 | VALOR: R$  450 | ITERACAO: 23
(C) TID: 136739125450432 | MEDIA: R$  444 | ITERACAO: 54
(P) TID: 136739230312128 | VALOR: R$  666 | ITERACAO: 19
(C) TID: 136739117057728 | MEDIA: R$  500 | ITERACAO: 56
(P) TID: 136739085612736 | VALOR: R$  808 | ITERACAO: 20
(C) TID: 136739125450432 | MEDIA: R$  655 | ITERACAO: 55
(P) TID: 136739142235840 | VALOR: R$  492 | ITERACAO: 20
(C) TID: 136739117057728 | MEDIA: R$  601 | ITERACAO: 57
(P) TID: 136739230312128 | VALOR: R$  343 | ITERACAO: 20
(C) TID: 136739125450432 | MEDIA: R$  552 | ITERACAO: 56
(P) TID: 136739221919424 | VALOR: R$  449 | ITERACAO: 21
(P) TID: 136739238704832 | VALOR: R$  593 | ITERACAO: 24
(C) TID: 136739125450432 | MEDIA: R$  537 | ITERACAO: 57
(P) TID: 136739133843136 | VALOR: R$  133 | ITERACAO: 24
(C) TID: 136739117057728 | MEDIA: R$  402 | ITERACAO: 58
(P) TID: 136739238704832 | VALOR: R$  896 | ITERACAO: 25
(C) TID: 136739125450432 | MEDIA: R$  483 | ITERACAO: 58
(P) TID: 136739085612736 finalizou
(P) TID: 136739230312128 | VALOR: R$  366 | ITERACAO: 21
(C) TID: 136739125450432 | MEDIA: R$  487 | ITERACAO: 59
(P) TID: 136739142235840 | VALOR: R$   79 | ITERACAO: 21
(C) TID: 136739117057728 | MEDIA: R$  413 | ITERACAO: 59
(P) TID: 136739238704832 finalizou
(P) TID: 136739133843136 | VALOR: R$  128 | ITERACAO: 25
(C) TID: 136739125450432 | MEDIA: R$  320 | ITERACAO: 60
(P) TID: 136739221919424 | VALOR: R$   25 | ITERACAO: 22
(C) TID: 136739117057728 | MEDIA: R$  299 | ITERACAO: 60
(P) TID: 136739133843136 | VALOR: R$  660 | ITERACAO: 26
(C) TID: 136739125450432 | MEDIA: R$  252 | ITERACAO: 61
(P) TID: 136739230312128 | VALOR: R$  501 | ITERACAO: 22
(C) TID: 136739117057728 | MEDIA: R$  279 | ITERACAO: 61
(P) TID: 136739221919424 | VALOR: R$  487 | ITERACAO: 23
(C) TID: 136739125450432 | MEDIA: R$  360 | ITERACAO: 62
(P) TID: 136739142235840 | VALOR: R$  938 | ITERACAO: 22
(C) TID: 136739117057728 | MEDIA: R$  522 | ITERACAO: 62
(P) TID: 136739221919424 | VALOR: R$  375 | ITERACAO: 24
(C) TID: 136739125450432 | MEDIA: R$  592 | ITERACAO: 63
(P) TID: 136739133843136 | VALOR: R$  662 | ITERACAO: 27
(C) TID: 136739117057728 | MEDIA: R$  593 | ITERACAO: 63
(P) TID: 136739230312128 | VALOR: R$  557 | ITERACAO: 23
(C) TID: 136739125450432 | MEDIA: R$  604 | ITERACAO: 64
(P) TID: 136739133843136 | VALOR: R$  971 | ITERACAO: 28
(C) TID: 136739117057728 | MEDIA: R$  701 | ITERACAO: 64
(P) TID: 136739230312128 | VALOR: R$  301 | ITERACAO: 24
(C) TID: 136739125450432 | MEDIA: R$  573 | ITERACAO: 65
(P) TID: 136739142235840 | VALOR: R$  953 | ITERACAO: 23
(C) TID: 136739117057728 | MEDIA: R$  689 | ITERACAO: 65
(P) TID: 136739221919424 | VALOR: R$  104 | ITERACAO: 25
(C) TID: 136739125450432 | MEDIA: R$  577 | ITERACAO: 66
(P) TID: 136739142235840 | VALOR: R$  141 | ITERACAO: 24
(C) TID: 136739117057728 | MEDIA: R$  494 | ITERACAO: 66
(P) TID: 136739133843136 | VALOR: R$  612 | ITERACAO: 29
(C) TID: 136739125450432 | MEDIA: R$  422 | ITERACAO: 67
(P) TID: 136739142235840 | VALOR: R$  620 | ITERACAO: 25
(C) TID: 136739117057728 | MEDIA: R$  486 | ITERACAO: 67
(P) TID: 136739221919424 finalizou
(P) TID: 136739133843136 | VALOR: R$   32 | ITERACAO: 30
(C) TID: 136739125450432 | MEDIA: R$  302 | ITERACAO: 68
(P) TID: 136739230312128 | VALOR: R$  901 | ITERACAO: 25
(C) TID: 136739117057728 | MEDIA: R$  461 | ITERACAO: 68
(P) TID: 136739230312128 finalizou
(P) TID: 136739133843136 finalizou
(P) TID: 136739142235840 finalizou
(C) TID: 136739125450432 finalizou
(C) TID: 136739117057728 finalizou
